Event Description,Year,outage_start_date,power_supplier,location,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,duration,state,outage_type
Transmission Equipment/Firm System Load,2010,12/14/2010,California Department of Water Resources,California,WECC,464,,"transmission interruption, load shedding",25.4,California,Transmission and Distribution Issues
Electrical System Separation - Islanding,2010,12/14/2010,Pacific Gas and Electric,California,WECC,9,"6,635",islanding,0.08333333333333333,California,Electrical System Issues
Severe Weather,2010,12/12/2010,Detroit Edison,Michigan,RFC,210,"60,175",severe weather,69.5,Michigan,Severe Weather
Electrical System Separation - Islanding,2010,12/3/2010,Pacific Gas and Electric,California,WECC,22,"7,077",islanding,4.466666666666667,California,Electrical System Issues
Winter Storm,2010,11/22/2010,Puget Sound Energy,Washington,WECC,420,"123,535","severe weather, winter storm",45.0,Washington,Severe Weather
Winter Storm,2010,11/21/2010,Pacific Gas and Electric,California,WECC,75,"60,000","severe weather, winter storm",87.11666666666667,California,Severe Weather
Winter Storm,2010,11/13/2010,Xcel Energy/Northern States Power Company,Minnesota,MRO,,"60,000","severe weather, winter storm",31.0,Minnesota,Severe Weather
Snow and High Winds,2010,11/8/2010,ISO New England,Maine,NPCC,,"60,863","severe weather, winter storm, wind",11.216666666666667,Maine,Severe Weather
Electrical System Separation - Islanding,2010,11/6/2010,Pacific Gas and Electric,California,WECC,20,4,islanding,2.25,California,Electrical System Issues
Transmission Equipment Failure/Interruptible Load Shed,2010,11/4/2010,PacifiCorp,Wyoming,WECC,,,"transmission interruption, equipment failure, load shedding",1.0166666666666666,Wyoming,Transmission and Distribution Issues
Firm System Load Loss,2010,10/31/2010,California Department of Water Resources,California,WECC,500,,load shedding,3.316666666666667,California,Load Shedding
Electrical System Separation-Islanding,2010,10/27/2010,Pacific Gas and Electric,California,WECC,16,"2,674",islanding,0.18333333333333332,California,Electrical System Issues
High Winds,2010,10/27/2010,Wisconsin Public Service Corporation,Wisconsin,MRO,,"63,000","severe weather, wind",8.0,Wisconsin,Severe Weather
High Winds,2010,10/27/2010,Commonwealth Edison,Illinois,RFC,,"127,000","severe weather, wind",35.0,Illinois,Severe Weather
High Winds,2010,10/26/2010,Xcel Energy/Northern States Power Company,Minnesota,MRO,,"70,000","severe weather, wind",50.0,Minnesota,Severe Weather
Thunderstorms,2010,10/26/2010,Commonwealth Edison,Illinois,RFC,,"192,106","severe weather, thunderstorm",50.0,Illinois,Severe Weather
Rain and High Winds,2010,10/5/2010,Los Angeles Department of Water and Power,California,WECC,,"73,514","severe weather, wind, rain",,California,Severe Weather
Thunderstorms,2010,9/22/2010,Allegheny Power,Pennsylvania,RFC,389,"82,861","severe weather, thunderstorm",53.86666666666667,Pennsylvania,Severe Weather
Firm Load Shed,2010,9/22/2010,California Department of Water Resources,California,WECC,526,,load shedding,16.8,California,Load Shedding
Thunderstorms,2010,9/22/2010,Duquesne Light Company,Pennsylvania,RFC,156,"52,000","severe weather, thunderstorm",91.86666666666667,Pennsylvania,Severe Weather
Thunderstorms,2010,9/21/2010,Consumers Energy,Michigan,RFC,,"138,000","severe weather, thunderstorm",16.983333333333334,Michigan,Severe Weather
Low Flying Helicopter,2010,9/20/2010,Birchwood Power Facility,Virginia,SERC,,,low flying helicopter,0.5,Virginia,Other
Tropical Storm,2010,9/7/2010,CPS Energy,Texas,TRE,,"340,350","severe weather, hurricane/tropical storm",11.416666666666666,Texas,Severe Weather
Electrical System Separation (Islanding),2010,9/1/2010,Pacific Gas and Electric,California,WECC,31,"15,000",islanding,2.4,California,Electrical System Issues
Severe Weather,2010,8/23/2010,CenterPoint Energy,Texas,TRE,746,"81,586",severe weather,15.666666666666666,Texas,Severe Weather
Severe Weather,2010,8/19/2010,Detroit Edison,Michigan,RFC,340,"80,000",severe weather,93.5,Michigan,Severe Weather
Made Public Appeals,2010,8/12/2010,Wisconsin Public Service,Wisconsin,MRO,30,"7,600",public appeal,6.466666666666667,Wisconsin,Public Appeal
Severe Weather,2010,8/12/2010,Potomac Electric Power Co.,Maryland,RFC,,"101,003",severe weather,14.25,Maryland,Severe Weather
Made Public Appeals,2010,8/12/2010,Nebraska Public Power District,Nebraska,SPP,65,,public appeal,2.65,Nebraska,Public Appeal
Thunderstorms,2010,8/5/2010,Potomac Electric Power Co,Maryland,RFC,,"76,729","severe weather, thunderstorm",6.5,Maryland,Severe Weather
Thunderstorms,2010,8/5/2010,Dominion - Virginia Power,Virginia,RFC,,"145,157","severe weather, thunderstorm",68.1,Virginia,Severe Weather
Severe Weather,2010,8/4/2010,American Electric Power,Kentucky,RFC,,"37,000",severe weather,35.0,Kentucky,Severe Weather
Thunderstorms,2010,8/4/2010,Allegheny Power,Virginia,RFC,60,"11,186","severe weather, thunderstorm",67.25,Virginia,Severe Weather
Fuel Supply Deficiency (Hydro),2010,8/2/2010,California Department of Waters Resources,California,WECC,,,"fuel supply emergency, hydro",11.0,California,Fuel Supply Emergency
Made Public Appeals,2010,8/2/2010,Cleco Power LLC,Louisiana,SERC,,,public appeal,46.25,Louisiana,Public Appeal
Made Public Appeals,2010,8/2/2010,Entergy,Louisiana,SERC,,,public appeal,46.25,Louisiana,Public Appeal
Made Public Appeals,2010,8/2/2010,Southwest Louisiana Electric Membership Corporation,Louisiana,SERC,,,public appeal,46.25,Louisiana,Public Appeal
Made Public Appeals,2010,8/2/2010,Lafayette Utilities Systems,Louisiana,SPP,,,public appeal,46.25,Louisiana,Public Appeal
Thunderstorms,2010,7/29/2010,Dominion - Virginia Power,Virginia,SERC,,"55,000","severe weather, thunderstorm",2.4,Virginia,Severe Weather
"Shed Interruptible Load, Wildfire",2010,7/29/2010,Southern California Edison Company,California,WECC,522,,"load shedding, wild fire",0.7833333333333333,California,Wild Fire
"Shed Interruptible Load, Wildfire",2010,7/29/2010,California Independent System Operator,California,WECC,522,,"load shedding, wild fire",0.7833333333333333,California,Wild Fire
Severe Weather,2010,7/25/2010,Dominion - Virginia Power,Virginia,SERC,900-1000,"81,000",severe weather,3.9166666666666665,Virginia,Severe Weather
Severe Weather,2010,7/25/2010,Baltimore Gas and Electric,Maryland,RFC,480,"124,000",severe weather,50.666666666666664,Maryland,Severe Weather
Made Public Appeals,2010,7/23/2010,Pacificorp,Utah,WECC,6/8/2014,,public appeal,37.916666666666664,Utah,Public Appeal
Severe Weather,2010,7/23/2010,Detroit Edison,Michigan,RFC,400,"82,000",severe weather,71.0,Michigan,Severe Weather
Thunderstorms,2010,7/21/2010,ISO New England,Connecticut,NPCC,,"50,100","severe weather, thunderstorm",1.2666666666666666,Connecticut,Severe Weather
"Strong Winds, Tornadoes",2010,7/17/2010,Xcel Energy,Minnesota,MRO,,"63,000","severe weather, tornado",49.5,Minnesota,Severe Weather
Severe Weather,2010,7/15/2010,Detroit Edison,Michigan,RFC,540,"127,534",severe weather,100.5,Michigan,Severe Weather
Loss of Transmission Equipment,2010,7/7/2010,"PJM Interconnection, LLC",Pennsylvania,RFC,,"43,903",equipment failure,6.266666666666667,Pennsylvania,Transmission and Distribution Issues
Electrical System Separation,2010,6/25/2010,Pacific Gas and Electric,California,WECC,,,islanding,2.033333333333333,California,Electrical System Issues
Thunderstorms,2010,6/24/2010,PECO,Pennsylvania,RFC,,"355,000","severe weather, thunderstorm",128.48333333333332,Pennsylvania,Severe Weather
Thunderstorms,2010,6/23/2010,Northern Indiana Public Service Company,Indiana,RFC,,"53,000","severe weather, thunderstorm",8.55,Indiana,Severe Weather
Made Public Appeal/Transmission Equipment Failure,2010,6/22/2010,Entergy,Arkansas,SERC,84,"25,159","public appeal, equipment failure",3.433333333333333,Arkansas,Public Appeal
Severe Weather,2010,6/18/2010,American Electric Power,Michigan,RFC,,"79,000",severe weather,62.75,Michigan,Severe Weather
Thunderstorms,2010,6/18/2010,Consumers Energy,Michigan,RFC,,"100,000","severe weather, thunderstorm",10.0,Michigan,Severe Weather
Thunderstorms,2010,6/18/2010,Northern Indiana Public Service Company,Indiana,RFC,,"94,345","severe weather, thunderstorm",45.0,Indiana,Severe Weather
Made Public Appeal,2010,6/17/2010,Entergy,Louisiana,SERC,,,public appeal,7.783333333333333,Louisiana,Public Appeal
Made Public Appeal,2010,6/17/2010,Cleco Power LLC,Louisiana,SERC,,,public appeal,7.166666666666667,Louisiana,Public Appeal
Made Public Appeal,2010,6/17/2010,Southwest Louisiana Electric Membership Corporation,Louisiana,SPP,,,public appeal,7.166666666666667,Louisiana,Public Appeal
Electrical System Separation,2010,6/17/2010,Western Area Power Administration,Montana,MRO,,,islanding,0.21666666666666667,Montana,Electrical System Issues
Thunderstorms,2010,6/8/2010,Centerpoint Energy,Texas,TRE,,"79,741","severe weather, thunderstorm",6.0,Texas,Severe Weather
Electric System Separation,2010,6/6/2010,Pacific Gas and Electric,California,WECC,3,"2,650",islanding,0.8333333333333334,California,Electrical System Issues
Firm Load Shed,2010,6/1/2010,Southern Indiana Gas and Electric Company,Indiana,RFC,500,1,load shedding,398.45,Indiana,Load Shedding
Made Public Appeal - System Drill,2010,5/26/2010,Allegheny Power,Virginia,"RFC, SERC",,,public appeal,3.25,Virginia,Electrical System Issues
Breakers Tripped,2010,5/18/2010,California Department of Water Resources,California,WECC,318,,breaker trip,14.516666666666667,California,Electrical System Issues
Thunderstorms,2010,5/2/2010,Tennesse Valley Authority,Tennessee,SERC,,"50,500","severe weather, thunderstorm",172.83333333333334,Tennessee,Severe Weather
Thunderstorms,2010,5/2/2010,Tennesse Valley Authority,Mississippi,SERC,,"50,500","severe weather, thunderstorm",172.83333333333334,Mississippi,Severe Weather
Generator Tripped,2010,4/21/2010,Dow Chemical Co,Louisiana,SERC,,,generator trip,4.916666666666667,Louisiana,Equipment Failures
Severe Thunderstorms,2010,4/16/2010,Allegheny Power,Pennsylvania,RFC,15,"120,000","severe weather, thunderstorm",47.75,Pennsylvania,Severe Weather
High Winds and Rain,2010,3/13/2010,ISO New England,Connecticut,NPCC,50,"50,246","severe weather, wind, rain",56.083333333333336,Connecticut,Severe Weather
High Winds and rain,2010,3/13/2010,Exelon Corporation/PECO,Pennsylvania,RFC,,"177,528","severe weather, wind, rain",89.66666666666667,Pennsylvania,Severe Weather
Winter Storm,2010,2/25/2010,ISO New England,Maine,NPCC,510,"509,606","severe weather, winter storm",88.78333333333333,Maine,Severe Weather
Winter Storm,2010,2/14/2010,Allegheny Power,Pennsylvania,RFC,900,"190,000","severe weather, winter storm",2.0,Pennsylvania,Severe Weather
Winter Storm,2010,2/11/2010,Oncor Electric Delivery Company,Texas,TRE,,"500,000","severe weather, winter storm",105.0,Texas,Severe Weather
Winter Storm,2010,2/9/2010,Exelon Corporation,Pennsylvania,RFC,,"223,000","severe weather, winter storm",118.0,Pennsylvania,Severe Weather
Winter Storm,2010,2/5/2010,Duquesne Light Company,Pennsylvania,RFC,,"57,000","severe weather, winter storm",157.5,Pennsylvania,Severe Weather
Winter Storm,2010,2/5/2010,American Electric Power,Virginia,RFC,,"102,225","severe weather, winter storm",27.133333333333333,Virginia,Severe Weather
Winter Storm,2010,2/5/2010,American Electric Power,Virginia,RFC,,"102,225","severe weather, winter storm",27.133333333333333,Virginia,Severe Weather
Ice Storm/Electrical System Separation,2010,2/1/2010,Western Farmers Electric Cooperative,Oklahoma,SPP,30,0,"severe weather, winter storm, islanding",2.466666666666667,Oklahoma,Severe Weather
Ice Storm,2010,1/28/2010,American Electric Power,Oklahoma,SPP,,"68,705","severe weather, winter storm",120.0,Oklahoma,Severe Weather
Severe Storm,2010,1/20/2010,Los Angeles Department of Water and Power,California,WECC,,"147,223","severe weather, storm",101.16666666666667,California,Severe Weather
Severe Storm,2010,1/18/2010,Pacific Gas and Electric Company,California,WECC,290,"1,700,000","severe weather, storm",236.5,California,Severe Weather
Interruptible Load Shed/Made Public Appeals,2010,1/11/2010,Progress Energy Florida,Florida,"FRCC, SERC",,,"load shedding, public appeal",6.2,Florida,Load Shedding
Made Public Appeals,2010,1/6/2010,Southwest Louisiana Electric Membership Corporation,Louisiana,SERC,,,public appeal,48.0,Louisiana,Public Appeal
Severe Weather,2009,12/18/2009,American Electric Power,Ohio,RFC,,"403,913",severe weather,169.5,Ohio,Severe Weather
Severe Weather,2009,12/10/2009,Detroit Edison,Michigan,RFC,,"65,562",severe weather,38.25,Michigan,Severe Weather
Severe Weather,2009,12/9/2009,American Electric Power,Ohio,RFC,,"48,102",severe weather,16.883333333333333,Ohio,Severe Weather
Load Shed/Made Public Appeals,2009,12/8/2009,California Independent System Operator,California,WECC,,,"load shedding, public appeal",5.433333333333334,California,Load Shedding
Severe Weather,2009,12/8/2009,Arizona Public Service,Arizona,WECC,,"140,000",severe weather,58.0,Arizona,Severe Weather
Forced Outage Equipment Failure,2009,12/7/2009,California Department of Water Resources,California,WECC,400,,equipment failure,6.0,California,Equipment Failures
Ice,2009,10/13/2009,Western Area Power Administration Upper Great Plains Region,Wyoming,WECC,101,"35,500","severe weather, winter storm",1.7666666666666666,Wyoming,Severe Weather
High Winds and Rain,2009,10/13/2009,Pacific Gas and Electric,California,WECC,350,"859,554","severe weather, wind, rain",6.5,California,Severe Weather
Winter Storm,2009,10/9/2009,Entergy Corporation,Arkansas,SERC,,"56,000","severe weather, winter storm",41.25,Arkansas,Severe Weather
Winter Storm,2009,10/9/2009,Entergy Corporation,Louisiana,SERC,,"56,000","severe weather, winter storm",41.25,Louisiana,Severe Weather
Severe Storms,2009,10/7/2009,Detroit Edison,Michigan,RFC,,"75,000","severe weather, storm",65.25,Michigan,Severe Weather
Made Public Appeals,2009,8/31/2009,Los Angeles Department of Water and Power,California,WECC,,,public appeal,1.4833333333333334,California,Public Appeal
Thunderstorms,2009,8/4/2009,Duke Energy Midwest,Ohio,RFC,50,"63,700","severe weather, thunderstorm",103.25,Ohio,Severe Weather
Thunderstorms,2009,8/4/2009,Duke Energy Midwest,Indiana,RFC,50,"63,700","severe weather, thunderstorm",103.25,Indiana,Severe Weather
Loss of Part of Substation,2009,7/28/2009,PacificCorp,Utah,WECC,316,,equipment failure,0.25,Utah,Equipment Failures
Loss of Part of Substation,2009,7/28/2009,PacificCorp,Utah,WECC,316,,equipment failure,0.25,Utah,Equipment Failures
Failure of Computer Hardware Used for Monitoring,2009,7/27/2009,Tennessee Valley Authority,Tennessee,SERC,,,equipment failure,0.7,Tennessee,Equipment Failures
Unit Tripped,2009,7/21/2009,Crockett Cogeneration,California,WECC,136,1,generator trip,3.15,California,Equipment Failures
Made Public Appeals,2009,7/7/2009,ERCOT ISO,Texas,TRE,,,public appeal,3.5,Texas,Public Appeal
Electrical System Separation,2009,7/2/2009,ISO New England,Maine,NPCC,0,0,islanding,2.683333333333333,Maine,Electrical System Issues
Severe Thunderstorms,2009,6/26/2009,Connecticut Light and Power,Connecticut,NPCC,,"50,752","severe weather, thunderstorm",64.0,Connecticut,Severe Weather
Severe Thunderstorms,2009,6/26/2009,Duke Energy Midwest,Indiana,RFC,327,"85,000","severe weather, thunderstorm",32.0,Indiana,Severe Weather
Made Public Appeals,2009,6/24/2009,SW Louisiana Electric Membership Corp/ Louisiana Generating LLC,Louisiana,SERC,,,public appeal,8.5,Louisiana,Public Appeal
Severe Storm,2009,6/19/2009,Consumers Energy,Michigan,RFC,75,"99,000","severe weather, storm",58.983333333333334,Michigan,Severe Weather
Severe Storm,2009,6/12/2009,Tennessee Valley Authority,Tennessee,SERC,860,"136,000","severe weather, storm",2.2666666666666666,Tennessee,Severe Weather
Severe Thunderstorm,2009,6/12/2009,Southern Company,Georgia,SERC,290,"102,000","severe weather, thunderstorm",20.0,Georgia,Severe Weather
Severe Thunderstorms,2009,6/12/2009,Entergy Corporation,Mississippi,SERC,,"81,645","severe weather, thunderstorm",78.23333333333333,Mississippi,Severe Weather
Severe Storms,2009,6/10/2009,"Oncor Electric Delivery Company, LLC",Texas,TRE,,"800,000","severe weather, storm",88.0,Texas,Severe Weather
Severe Thunderstorms,2009,6/9/2009,Baltimore Gas and Electric,Maryland,RFC,60,"85,091","severe weather, thunderstorm",35.583333333333336,Maryland,Severe Weather
Electrical System Separation,2009,6/5/2009,Pacific Gas and Electric,California,WECC,1,70,islanding,6.666666666666667,California,Electrical System Issues
Transmission Equipment Failure,2009,5/29/2009,Big Rivers Electric Corporation,Kentucky,SERC,342,1,"equipment failure, transmission interruption",10.866666666666667,Kentucky,Transmission and Distribution Issues
Severe Thunderstorm,2009,5/8/2009,The Empire District Electric Company,Missouri,SERC,266,"83,000","severe weather, thunderstorm",1.5,Missouri,Severe Weather
Severe Thunderstorm,2009,5/8/2009,Ameren,Illinois,SERC,300,"68,800","severe weather, thunderstorm",153.83333333333334,Illinois,Severe Weather
Complete Electric System Failure,2009,4/24/2009,Constellation Energy,Louisiana,SERC,32,"11,000",unknown,0.2,Louisiana,Electrical System Issues
Substation Load Interruption,2009,4/23/2009,Southern California Edison Co,California,WECC,512,"280,000",load shedding,2.066666666666667,California,Load Shedding
Transmission Tripped,2009,4/23/2009,Puget Sound Energy,Washington,WECC,244,"93,300",equipment failure,20.066666666666666,Washington,Transmission and Distribution Issues
Severe Thunderstorms,2009,4/10/2009,Southern Company,Alabama,SERC,162,"56,679","severe weather, thunderstorm",4.5,Alabama,Severe Weather
Severe Thunderstorms,2009,4/10/2009,Southern Company,Georgia,SERC,162,"56,679","severe weather, thunderstorm",4.5,Georgia,Severe Weather
Unit Shut Down,2009,3/8/2009,Crockett Cogeneration,California,WECC,150,-,unknown,1.4833333333333334,California,Equipment Failures
Made Public Appeals,2009,3/3/2009,American Electric Power,Virginia,RFC,350,0,public appeal,22.283333333333335,Virginia,Public Appeal
Transformer Faulted/Unit Tripped,2009,3/3/2009,"New Covert Generating Company, LLC",Michigan,RFC,378,,equipment failure,1295.2833333333333,Michigan,Equipment Failures
Winter Storm,2009,3/1/2009,Dominion Virginia/North Carolina Power,Virginia,SERC,210,"217,000","severe weather, winter storm",44.0,Virginia,Severe Weather
Ice/Snow Storm,2009,2/23/2009,Central Maine Power Company,Maine,NPCC,,"131,000","severe weather, winter storm",35.13333333333333,Maine,Severe Weather
High Winds,2009,2/13/2009,Ohio Edison Company,Ohio,RFC,168,"184,000","severe weather, wind",48.5,Ohio,Severe Weather
High Winds,2009,2/12/2009,Midwest ISO,Ohio,RFC,168,"184,000","severe weather, wind",3.5,Ohio,Severe Weather
High Winds,2009,2/12/2009,Penelec,Pennsylvania,RFC,130,"132,000","severe weather, wind",86.0,Pennsylvania,Severe Weather
Severe Thunderstorms,2009,2/11/2009,Allegheny Power,Virginia,RFC,,"374,644","severe weather, thunderstorm",121.86666666666666,Virginia,Severe Weather
Severe Thunderstorms,2009,2/11/2009,Allegheny Power,Pennsylvania,RFC,,"374,644","severe weather, thunderstorm",121.86666666666666,Pennsylvania,Severe Weather
Severe Thunderstorms,2009,2/11/2009,American Electric Power,Virginia,RFC,,"279,813","severe weather, thunderstorm",47.0,Virginia,Severe Weather
Severe Thunderstorms,2009,2/11/2009,American Electric Power,Ohio,RFC,,"279,813","severe weather, thunderstorm",47.0,Ohio,Severe Weather
Severe Thunderstorms,2009,2/11/2009,Midwest ISO,Kentucky,RFC,350,"63,000","severe weather, thunderstorm",15.0,Kentucky,Severe Weather
Severe Thunderstorms,2009,2/11/2009,Midwest ISO,Ohio,RFC,350,"63,000","severe weather, thunderstorm",15.0,Ohio,Severe Weather
High Winds,2009,2/11/2009,CenterPoint Energy,Texas,TRE,350,"64,801","severe weather, wind",9.5,Texas,Severe Weather
Severe Thunderstorms,2009,2/11/2009,Louisville Gas and Electric/Kentucky Utilities,Kentucky,RFC,,"78,000","severe weather, thunderstorm",16.0,Kentucky,Severe Weather
Winter Storm,2009,1/28/2009,Midwest ISO,Missouri,RFC,300,1,"severe weather, winter storm",57.166666666666664,Missouri,Severe Weather
Ice/Snow Storm,2009,1/28/2009,Duke Energy Ohio,Kentucky,RFC,,"53,600","severe weather, winter storm",59.333333333333336,Kentucky,Severe Weather
Ice/Snow Storm,2009,1/28/2009,Duke Energy Ohio,Ohio,RFC,,"53,600","severe weather, winter storm",59.333333333333336,Ohio,Severe Weather
Ice/Snow Storm,2009,1/28/2009,Duke Energy Indiana,Indiana,RFC,,"53,700","severe weather, winter storm",384.21666666666664,Indiana,Severe Weather
Winter Storm,2009,1/28/2009,Midwest ISO,Ohio,RFC,,"230,300","severe weather, winter storm",389.05,Ohio,Severe Weather
Winter Storm,2009,1/28/2009,Midwest ISO,Kentucky,RFC,,"230,300","severe weather, winter storm",389.05,Kentucky,Severe Weather
Ice Storm,2009,1/28/2009,Tennessee Valley Authority,Tennessee,SERC,,"109,527","severe weather, winter storm",191.0,Tennessee,Severe Weather
Ice Storm,2009,1/28/2009,Tennessee Valley Authority,Kentucky,SERC,,"109,527","severe weather, winter storm",191.0,Kentucky,Severe Weather
Ice Storm,2009,1/28/2009,Henderson Municipal Power and Light,Kentucky,RFC,21,"3,500","severe weather, winter storm",253.0,Kentucky,Severe Weather
Ice Storm,2009,1/28/2009,Henderson Municipal Power and Light,Kentucky,RFC,21,"3,500","severe weather, winter storm",253.0,Kentucky,Severe Weather
Ice Storm,2009,1/27/2009,Big Rivers Electric Corporation,Kentucky,SERC,350,3,"severe weather, winter storm",204.33333333333334,Kentucky,Severe Weather
Ice Storm,2009,1/27/2009,Big Rivers Electric Corporation,Indiana,SERC,350,3,"severe weather, winter storm",204.33333333333334,Indiana,Severe Weather
Winter Storm,2009,1/27/2009,"Associated Electric Cooperative, Inc.",Missouri,SERC,200,"62,500","severe weather, winter storm",79.0,Missouri,Severe Weather
Ice Storm,2009,1/27/2009,Arkansas Electric Cooperative Corporation,Arkansas,SERC,600,"215,700","severe weather, winter storm",33.0,Arkansas,Severe Weather
Ice Storm,2009,1/27/2009,Entergy Corporation,Arkansas,SERC,,"111,818","severe weather, winter storm",171.23333333333332,Arkansas,Severe Weather
Ice Storm,2009,1/27/2009,Louisville Gas and Electric/Kentucky Utilities,Kentucky,RFC,,"383,000","severe weather, winter storm",59.5,Kentucky,Severe Weather
Shed Load,2009,1/22/2009,Crawfordsville Electric Light and Power,Indiana,RFC,50,"9,700",load shedding,1.0833333333333333,Indiana,Load Shedding
Fuel Supply Deficiency,2009,1/17/2009,"State Line Energy, LLC",Indiana,RFC,,,fuel supply emergency,192.0,Indiana,Fuel Supply Emergency
Transmission Equipment Failure,2009,1/8/2009,Florida Keys Electric Cooperative Assoc. Inc.,Florida,FRCC,55,"31,000","equipment failure, transmission interruption",11.65,Florida,Transmission and Distribution Issues
Severe Storm,2009,1/5/2009,"Oncor Electric Delivery Company, LLC",Texas,TRE,,"157,019","severe weather, storm",37.0,Texas,Severe Weather
Shed Firm Load,2008,12/30/2008,Crawfordsville Electric Light and Power,Indiana,RFC,41,"9,700",load shedding,0.5833333333333334,Indiana,Load Shedding
Wind Storm,2008,12/28/2008,Consumers Energy,Michigan,RFC,,"210,517","severe weather, wind",85.25,Michigan,Severe Weather
Wind Storm,2008,12/28/2008,Midwest ISO,Michigan,RFC,,"230,000","severe weather, wind",11.75,Michigan,Severe Weather
Lightning,2008,12/26/2008,"Hawaiian Electric Company, Inc.",Hawaii,HI,"1,060","294,000","severe weather, thunderstorm",22.783333333333335,Hawaii,Severe Weather
Load Shedding,2008,12/26/2008,Sacramento Municipal Utility District,California,WECC,110,"50,000",load shedding,3.9,California,Load Shedding
Ice Storm,2008,12/19/2008,Midwest ISO,Indiana,RFC,,"50,000","severe weather, winter storm",23.333333333333332,Indiana,Severe Weather
Electrical System Separation,2008,12/19/2008,Pacific Gas and Electric Company,California,WECC,1,638,islanding,5.25,California,Electrical System Issues
Ice Storm,2008,12/19/2008,American Electric Power,Michigan,RFC,,"140,000","severe weather, winter storm",75.5,Michigan,Severe Weather
Ice Storm,2008,12/19/2008,American Electric Power,Ohio,RFC,,"140,000","severe weather, winter storm",75.5,Ohio,Severe Weather
Declared Stage 1 Electric Emergency/Made Public Appeal,2008,12/13/2008,Pacific Gas and Electric Company,California,WECC,5,0,public appeal,185.78333333333333,California,Public Appeal
Ice Storm,2008,12/12/2008,Central Maine Power Company,Maine,NPCC,,"169,757","severe weather, winter storm",49.11666666666667,Maine,Severe Weather
Snow Storm,2008,12/11/2008,Entergy Corporation,Mississippi,SERC,,"91,300","severe weather, winter storm",62.983333333333334,Mississippi,Severe Weather
Equipment Failure/Made Public Appeal,2008,12/10/2008,PacifiCorp,Oregon,WECC,32,3,"equipment failure, public appeal",3.3333333333333335,Oregon,Public Appeal
Fire/Load Shedding,2008,12/2/2008,Midwest ISO,Missouri,RFC,135,"53,000","wild fire, load shedding",2.5,Missouri,Wild Fire
Load Shedding,2008,11/7/2008,California ISO,California,WECC,430,"400,000",load shedding,0.65,California,Load Shedding
Load Shedding,2008,11/7/2008,Southern California Edison,California,WECC,250,"140,000",load shedding,0.6833333333333333,California,Load Shedding
Severe Storm,2008,10/25/2008,ISO New England,Connecticut,NPCC,,"52,000","severe weather, storm",32.0,Connecticut,Severe Weather
Electrical System Separation,2008,9/30/2008,Pacific Gas and Electric Company,California,WECC,30,"10,000",islanding,0.05,California,Electrical System Issues
Tropical Depression Ike,2008,9/15/2008,Allegheny Power,Pennsylvania,RFC,546,"160,875","severe weather, hurricane/tropical storm",99.88333333333334,Pennsylvania,Severe Weather
Wind Storm,2008,9/14/2008,Ohio Edison Company,Ohio,RFC,469,"564,728","severe weather, wind",192.18333333333334,Ohio,Severe Weather
High Winds,2008,9/14/2008,Owensboro Municipal Utilities,Kentucky,RFC,70,"18,000","severe weather, wind",174.98333333333332,Kentucky,Severe Weather
Tropical Depression Ike,2008,9/14/2008,Louisville Gas/Kentucky Utilities,Kentucky,RFC,,"375,000","severe weather, hurricane/tropical storm",5.0,Kentucky,Severe Weather
Wind Storm,2008,9/14/2008,Cleveland Electric Illuminating Company,Ohio,RFC,430,"245,164","severe weather, wind",178.33333333333334,Ohio,Severe Weather
Hurricane Ike,2008,9/14/2008,Ameren Corporation,Missouri,MRO,,"107,000","severe weather, hurricane/tropical storm",103.5,Missouri,Severe Weather
Hurricane Ike,2008,9/14/2008,Ameren Corporation,Illinois,MRO,,"107,000","severe weather, hurricane/tropical storm",103.5,Illinois,Severe Weather
Tropical Depression Ike,2008,9/14/2008,Midwest ISO,Indiana,RFC,,"875,000","severe weather, hurricane/tropical storm",8.133333333333333,Indiana,Severe Weather
Wind Storm,2008,9/14/2008,Pennsylvania Electric Company,Pennsylvania,RFC,72,"124,596","severe weather, wind",115.63333333333333,Pennsylvania,Severe Weather
Hurricane Ike,2008,9/14/2008,Dayton Power and Light,Ohio,RFC,"1,000","95,000","severe weather, hurricane/tropical storm",70.0,Ohio,Severe Weather
Tropical Depression Ike,2008,9/14/2008,Duquesne Light Company,Pennsylvania,RFC,600,"105,000","severe weather, hurricane/tropical storm",4.983333333333333,Pennsylvania,Severe Weather
Wind Storm,2008,9/14/2008,American Electric Company,Ohio,RFC,,"650,000","severe weather, wind",151.0,Ohio,Severe Weather
Hurricane Ike,2008,9/13/2008,Oncor Electric Delivery Company LLC,Texas,TRE,,"238,392","severe weather, hurricane/tropical storm",44.0,Texas,Severe Weather
Hurricane Ike,2008,9/13/2008,American Electric Power CSWS,Texas,SPP,,"184,501","severe weather, hurricane/tropical storm",75.73333333333333,Texas,Severe Weather
Hurricane Ike,2008,9/13/2008,Louisiana Generating LLC,Louisiana,SERC,40,"50,000","severe weather, hurricane/tropical storm",340.26666666666665,Louisiana,Severe Weather
Hurricane Ike,2008,9/12/2008,Entergy Corporation,Arkansas,SERC,,"705,000","severe weather, hurricane/tropical storm",55.25,Arkansas,Severe Weather
Tropical Storm Hanna,2008,9/6/2008,Dominion-Virginia Power,Virginia,SERC,220,"64,463","severe weather, hurricane/tropical storm",1.85,Virginia,Severe Weather
